FYS Course Id, Student Id
82289, 78504494
82289, 78590686
82289, 78591908
82289, 78594676
82289, 78594783
82289, 78600031
82289, 78603004
82289, 78604091
82289, 78605381
82289, 78609491
82289, 78610355
82289, 78610769
82289, 78611019
82289, 78611376
82289, 78611401
82289, 78612041
82289, 78612280
82289, 78612337
82293, 78610711
82293, 78613008
82293, 78613083
82293, 78613501
82293, 78614041
82293, 78614359
82293, 78614541
82293, 78614704
82293, 78615441
82293, 78615862
82293, 78616074
82293, 78616112
82293, 78616183
82293, 78616530
82293, 78616744
82293, 78616794
82293, 78616806
82293, 78616809
82497, 78583212
82497, 78609293
82497, 78613525
82497, 78613703
82497, 78614538
82497, 78615903
82497, 78616679
82497, 78616883
82497, 78616887
82497, 78617004
82497, 78617044
82497, 78617590
82497, 78617603
82497, 78617734
82497, 78618187
82497, 78618310
82497, 78618526
82497, 78618781
82574, 78611157
82574, 78613698
82574, 78618903
82574, 78618912
82574, 78618954
82574, 78618982
82574, 78618993
82574, 78618995
82574, 78619027
82574, 78619137
82574, 78619308
82574, 78619733
82574, 78619848
82574, 78619865
82574, 78620201
82574, 78620307
82574, 78620335
82574, 78620348
82576, 78597130
82576, 78603784
82576, 78618049
82576, 78620283
82576, 78620589
82576, 78620809
82576, 78620819
82576, 78620952
82576, 78621274
82576, 78621286
82576, 78621577
82576, 78621789
82576, 78621816
82576, 78621825
82576, 78621871
82576, 78622287
82576, 78622294
82576, 78622325
82580, 78597463
82580, 78618468
82580, 78619508
82580, 78622383
82580, 78622522
82580, 78622538
82580, 78622810
82580, 78622839
82580, 78622840
82580, 78622851
82580, 78622858
82580, 78622865
82580, 78622898
82580, 78622899
82580, 78622903
82580, 78622919
82580, 78622927
82580, 78622983
82602, 78609741
82602, 78610152
82602, 78621819
82602, 78623010
82602, 78623018
82602, 78623032
82602, 78623052
82602, 78623057
82602, 78623099
82602, 78623141
82602, 78623437
82602, 78623537
82602, 78623864
82602, 78623896
82602, 78624334
82602, 78624356
82602, 78624442
82602, 78624670
82603, 78598481
82603, 78618273
82603, 78620506
82603, 78625009
82603, 78625035
82603, 78625048
82603, 78625129
82603, 78625929
82603, 78626266
82603, 78626522
82603, 78626702
82603, 78627007
82603, 78627025
82603, 78627302
82603, 78627324
82603, 78628028
82603, 78628154
82603, 78628588
82646, 78623026
82646, 78624353
82646, 78627252
82646, 78628200
82646, 78628593
82646, 78628905
